Text_A,Text_B,Text_A_token,Text_B_token,Label
một chiếc máy bay đang cất cánh,một chiếc máy bay đang cất cánh,một chiếc máy_bay đang cất_cánh,một chiếc máy_bay đang cất_cánh,1
một người đàn ông đang thổi một cây sáo lớn,một người đàn ông đang thổi sáo,một người đàn_ông đang thổi một cây sáo lớn,một người đàn_ông đang thổi sáo,1
một người đàn ông đang phết pho mát vụn lên bánh pizza,một người đàn ông đang phết phô mai vụn lên một chiếc bánh pizza chưa nấu chín,một người đàn_ông đang phết pho_mát vụn lên bánh pizza,một người đàn_ông đang phết phô_mai vụn lên một chiếc bánh pizza chưa nấu chín,1
ba người đàn ông đang chơi cờ,hai người đàn ông đang chơi cờ,ba người đàn_ông đang chơi cờ,hai người đàn_ông đang chơi cờ,1
một người đàn ông đang chơi cello,một người đàn ông ngồi đang chơi cello,một người đàn_ông đang chơi cello,một người đàn_ông ngồi đang chơi cello,1
một số người đàn ông đang chiến đấu,hai người đàn ông đang đánh nhau,một_số người đàn_ông đang chiến_đấu,hai người đàn_ông đang đánh nhau,0
một người đàn ông đang hút thuốc,một người đàn ông đang trượt băng,một người đàn_ông đang hút thuốc,một người đàn_ông đang trượt_băng,1
người đàn ông đang chơi piano,người đàn ông đang chơi guitar,người đàn_ông đang chơi piano,người đàn_ông đang chơi guitar,1
một người đàn ông đang chơi guitar và hát,một người phụ nữ đang chơi guitar acoustic và hát,một người đàn_ông đang chơi guitar và hát,một người phụ_nữ đang chơi guitar acoustic và hát,1
một người đang ném một con mèo lên trần nhà,một người ném một con mèo lên trần nhà,một người đang ném một con mèo lên trần nhà,một người ném một con mèo lên trần nhà,1
người đàn ông dùng gậy đánh người đàn ông kia,người đàn ông dùng gậy đánh người đàn ông kia,người đàn_ông dùng gậy đánh người đàn_ông kia,người đàn_ông dùng gậy đánh người đàn_ông kia,1
một người phụ nữ bế một con kangaroo con,một người phụ nữ bế một con kangaroo con trên tay,một người phụ_nữ bế một con kangaroo con,một người phụ_nữ bế một con kangaroo con trên tay,1
một người đàn ông đang thổi sáo,một người đàn ông đang thổi sáo trúc,một người đàn_ông đang thổi sáo,một người đàn_ông đang thổi sáo trúc,1
một người đang gấp một mảnh giấy,ai đó đang gấp một mảnh giấy,một người đang gấp một mảnh giấy,ai đó đang gấp một mảnh giấy,1
một người đàn ông đang chạy trên đường,một chú chó gấu trúc đang chạy trên đường,một người đàn_ông đang chạy trên đường,một chú chó gấu_trúc đang chạy trên đường,0
một đang cố gắng lấy thịt xông khói ra khỏi lưng,một đang cố gắng ăn thịt xông khói trên lưng,một đang cố_gắng lấy thịt xông khói ra khỏi lưng,một đang cố_gắng ăn thịt xông khói trên lưng,1
con gấu bắc cực đang trượt trên tuyết,một con gấu bắc cực đang trượt trên tuyết,con gấu bắc cực đang trượt trên tuyết,một con gấu bắc cực đang trượt trên tuyết,1
một người phụ nữ đang viết,một người phụ nữ đang bơi,một người phụ_nữ đang viết,một người phụ_nữ đang bơi,1
một con mèo đang cọ xát vào mặt em bé,một con mèo đang cọ xát với em bé,một con mèo đang cọ_xát vào mặt em bé,một con mèo đang cọ_xát với em bé,1
người đàn ông đang cưỡi ngựa,một người đàn ông đang cưỡi trên một con ngựa,người đàn_ông đang cưỡi ngựa,một người đàn_ông đang cưỡi trên một con ngựa,1
một người đàn ông đổ dầu vào nồi,một người đàn ông rót rượu vào nồi,một người đàn_ông đổ dầu vào nồi,một người đàn_ông rót rượu vào nồi,1
một người đàn ông đang chơi guitar,một cô gái đang chơi guitar,một người đàn_ông đang chơi guitar,một cô gái đang chơi guitar,0
một con gấu trúc đang trượt xuống cầu trượt,một con gấu trúc trượt xuống một slide,một con gấu_trúc đang trượt xuống cầu_trượt,một con gấu_trúc trượt xuống một slide,1
một người phụ nữ đang ăn một cái gì đó,một người phụ nữ đang ăn thịt,một người phụ_nữ đang ăn một cái gì đó,một người phụ_nữ đang ăn thịt,1
một người phụ nữ gọt vỏ khoai tây,một người phụ nữ đang gọt vỏ khoai tây,một người phụ_nữ gọt vỏ khoai_tây,một người phụ_nữ đang gọt vỏ khoai_tây,1
cậu bé bị ngã khỏi xe đạp,một cậu bé bị ngã khỏi xe đạp,cậu bé bị ngã khỏi xe_đạp,một cậu bé bị ngã khỏi xe_đạp,1
người phụ nữ đang thổi sáo,một người phụ nữ đang thổi sáo,người phụ_nữ đang thổi sáo,một người phụ_nữ đang thổi sáo,1
một con thỏ đang chạy từ một con đại bàng,một con thỏ rừng đang chạy từ một con đại bàng,một con thỏ đang chạy từ một con đại_bàng,một con thỏ rừng đang chạy từ một con đại_bàng,1
người phụ nữ đang chiên một miếng thịt lợn tẩm bột,một người phụ nữ đang nấu một miếng thịt lợn tẩm bột,người phụ_nữ đang chiên một miếng thịt lợn tẩm bột,một người phụ_nữ đang nấu một miếng thịt lợn tẩm bột,1
một cô gái đang thả diều,một cô gái đang chạy đang thả diều,một cô gái đang thả diều,một cô gái đang chạy đang thả diều,1
một người đàn ông đang cưỡi một cơ khí,một người đàn ông cưỡi một cơ khí,một người đàn_ông đang cưỡi một cơ_khí,một người đàn_ông cưỡi một cơ_khí,1
người đàn ông đang chơi guitar,một người đàn ông đang chơi guitar,người đàn_ông đang chơi guitar,một người đàn_ông đang chơi guitar,1
một người phụ nữ đang nhảy múa và hát với những người phụ nữ khác,một người phụ nữ đang nhảy múa và ca hát trong mưa,một người phụ_nữ đang nhảy_múa và hát với những người phụ_nữ khác,một người phụ_nữ đang nhảy_múa và ca_hát trong mưa,1
một người đàn ông đang cắt một chiếc bánh,một người đàn ông đang cắt một củ hành tây,một người đàn_ông đang cắt một chiếc bánh,một người đàn_ông đang cắt một củ hành_tây,1
một người đàn ông đang đổ dầu vào chảo,một người đàn ông đang đổ dầu vào chảo,một người đàn_ông đang đổ dầu vào chảo,một người đàn_ông đang đổ dầu vào chảo,1
một con sư tử đang chơi với mọi người,một con sư tử đang chơi với hai người đàn ông,một con sư_tử đang chơi với mọi người,một con sư_tử đang chơi với hai người đàn_ông,1
một cưỡi ván trượt,một đang cưỡi ván trượt,một cưỡi ván trượt,một đang cưỡi ván trượt,1
ai đó đang tạc một bức tượng,một người đàn ông đang tạc một bức tượng,ai đó đang tạc một bức tượng,một người đàn_ông đang tạc một bức tượng,1
một người phụ nữ đang cắt một củ hành tây,một người đàn ông đang cắt một củ hành tây,một người phụ_nữ đang cắt một củ hành_tây,một người đàn_ông đang cắt một củ hành_tây,1
một người phụ nữ bóc vỏ tôm,một người phụ nữ đang bóc tôm,một người phụ_nữ bóc vỏ tôm,một người phụ_nữ đang bóc tôm,1
một người phụ nữ đang chiên cá,một người phụ nữ đang nấu cá,một người phụ_nữ đang chiên cá,một người phụ_nữ đang nấu cá,1
một người phụ nữ đang chơi guitar điện,một người phụ nữ đang chơi guitar,một người phụ_nữ đang chơi guitar điện,một người phụ_nữ đang chơi guitar,1
một con hổ con đang chơi với một quả bóng,một em bé đang chơi với một con búp bê,một con hổ con đang chơi với một quả bóng,một em bé đang chơi với một con búp_bê,1
một người đang cắt một quả cà chua,một người đang cắt một ít thịt,một người đang cắt một quả cà_chua,một người đang cắt một_ít thịt,1
một người cắt một củ hành tây,một người đang cắt một củ hành tây,một người cắt một củ hành_tây,một người đang cắt một củ hành_tây,1
một người đàn ông đang chơi piano,một người phụ nữ đang chơi violin,một người đàn_ông đang chơi piano,một người phụ_nữ đang chơi violin,0
một người phụ nữ đang thổi sáo,một người đàn ông đang chơi guitar,một người phụ_nữ đang thổi sáo,một người đàn_ông đang chơi guitar,0
một người đàn ông đang cắt một củ khoai tây,một người đàn ông đang cắt cà rốt,một người đàn_ông đang cắt một củ khoai_tây,một người đàn_ông đang cắt cà_rốt,1
một đứa trẻ đang chơi guitar,một cậu bé đang chơi guitar,một đứa trẻ đang chơi guitar,một cậu bé đang chơi guitar,0
một cậu bé đang chơi guitar,một người đàn ông đang chơi guitar,một cậu bé đang chơi guitar,một người đàn_ông đang chơi guitar,0
một người đàn ông đang chơi guitar,một cậu bé đang chơi guitar,một người đàn_ông đang chơi guitar,một cậu bé đang chơi guitar,0
một cậu bé đang chơi đàn phím,một cậu bé đang chơi bảng chìa khóa,một cậu bé đang chơi đàn phím,một cậu bé đang chơi bảng chìa_khóa,1
một người đàn ông đang chơi guitar,một người đàn ông đang chơi guitar điện,một người đàn_ông đang chơi guitar,một người đàn_ông đang chơi guitar điện,1
một liếm một em bé,một đang liếm một em bé,một liếm một em bé,một đang liếm một em bé,1
một người phụ nữ đang cắt một củ hành tây,một người đàn ông đang cắt và hành tây,một người phụ_nữ đang cắt một củ hành_tây,một người đàn_ông đang cắt và hành_tây,0
một người đàn ông đang chơi guitar,một người đàn ông đang chơi trống,một người đàn_ông đang chơi guitar,một người đàn_ông đang chơi trống,1
một người phụ nữ đang cắt một hạt tiêu,một người phụ nữ đang cắt một quả ớt đỏ,một người phụ_nữ đang cắt một hạt_tiêu,một người phụ_nữ đang cắt một quả ớt đỏ,1
một người đàn ông đang chơi trống,một người đàn ông chơi trống,một người đàn_ông đang chơi trống,một người đàn_ông chơi trống,1
một người phụ nữ cưỡi ngựa,một người phụ nữ đang cưỡi ngựa,một người phụ_nữ cưỡi ngựa,một người phụ_nữ đang cưỡi ngựa,1
một người đàn ông đang ăn một quả chuối bên một cái cây,một người đàn ông đang ăn một quả chuối,một người đàn_ông đang ăn một quả chuối bên một cái cây,một người đàn_ông đang ăn một quả chuối,1
một con mèo đang chơi một bảng chìa khóa,một người đàn ông đang chơi hai bàn phím,một con mèo đang chơi một bảng chìa_khóa,một người đàn_ông đang chơi hai bàn_phím,0
một người đàn ông chặt cây bằng rìu,một người đàn ông chặt cây bằng rìu,một người đàn_ông chặt cây bằng rìu,một người đàn_ông chặt cây bằng rìu,1
một đứa trẻ chơi với một chiếc điện thoại đồ chơi,một cậu bé chơi với một chiếc điện thoại đồ chơi,một đứa trẻ chơi với một chiếc điện_thoại đồ_chơi,một cậu bé chơi với một chiếc điện_thoại đồ_chơi,1
một người đàn ông đang đi xe máy,một người đàn ông đang cưỡi ngựa,một người đàn_ông đang đi xe_máy,một người đàn_ông đang cưỡi ngựa,1
một người đàn ông đang đi xe máy,một người đàn ông đang cưỡi ngựa,một người đàn_ông đang đi xe_máy,một người đàn_ông đang cưỡi ngựa,1
một con sóc đang quay vòng tròn,một con sóc chạy xung quanh trong vòng tròn,một con sóc đang quay_vòng_tròn,một con sóc chạy xung_quanh trong vòng_tròn,0
một người đàn ông và một người phụ nữ đang hôn nhau,một người đàn ông và một người phụ nữ hôn nhau,một người đàn_ông và một người phụ_nữ đang hôn nhau,một người đàn_ông và một người phụ_nữ hôn nhau,1
một người đàn ông đang lên xe,một người đàn ông đang lên xe trong gara,một người đàn_ông đang lên xe,một người đàn_ông đang lên xe trong gara,1
một người đàn ông đang nhảy múa,một người đàn ông đang nói,một người đàn_ông đang nhảy_múa,một người đàn_ông đang nói,1
một người đàn ông đang chơi guitar và hát,một người đàn ông đang chơi guitar,một người đàn_ông đang chơi guitar và hát,một người đàn_ông đang chơi guitar,1
một người đang cắt nấm,một người đang cắt nấm bằng dao,một người đang cắt nấm,một người đang cắt nấm bằng dao,1
một con hổ con đang phát ra âm thanh,một con hổ đang đi bộ xung quanh,một con hổ con đang phát ra âm_thanh,một con hổ đang đi bộ xung_quanh,0
một người đang cắt hành tây,một người đang bóc vỏ hành tây,một người đang cắt hành_tây,một người đang bóc vỏ hành_tây,1
một người đàn ông đang chơi piano,một người đàn ông đang thổi kèn,một người đàn_ông đang chơi piano,một người đàn_ông đang thổi kèn,1
một người phụ nữ đang gọt vỏ khoai tây,một người phụ nữ đang gọt một quả táo,một người phụ_nữ đang gọt vỏ khoai_tây,một người phụ_nữ đang gọt một quả táo,1
một con gấu trúc đang ăn tre,một con gấu trúc đang ăn một ít tre,một con gấu_trúc đang ăn_tre,một con gấu_trúc đang ăn một_ít tre,1
một người đang bóc vỏ hành tây,một người đang gọt vỏ cà tím,một người đang bóc vỏ hành_tây,một người đang gọt vỏ cà_tím,0
một con khỉ đẩy một con khỉ khác,con khỉ đẩy con khỉ kia,một con khỉ đẩy một con khỉ khác,con khỉ đẩy con khỉ kia,1
một con sóc chạy xung quanh trong vòng tròn,một con sóc đang di chuyển theo vòng tròn,một con sóc chạy xung_quanh trong vòng_tròn,một con sóc đang di_chuyển theo vòng_tròn,0
một người đàn ông đang buộc dây giày,một người đàn ông buộc giày,một người đàn_ông đang buộc dây giày,một người đàn_ông buộc giày,1
một cậu bé đang hát và chơi piano,một cậu bé đang chơi piano,một cậu bé đang hát và chơi piano,một cậu bé đang chơi piano,1
một đang ăn dưa hấu,một đang ăn một miếng dưa hấu,một đang ăn dưa_hấu,một đang ăn một miếng dưa_hấu,1
một người phụ nữ đang cắt bông cải xanh,một người phụ nữ đang cắt bông cải xanh bằng dao,một người phụ_nữ đang cắt bông cải xanh,một người phụ_nữ đang cắt bông cải xanh bằng dao,1
một người đàn ông đang gọt vỏ khoai tây,một người đàn ông gọt vỏ khoai tây,một người đàn_ông đang gọt vỏ khoai_tây,một người đàn_ông gọt vỏ khoai_tây,1
một người phụ nữ đang chơi guitar,một người đàn ông chơi guitar,một người phụ_nữ đang chơi guitar,một người đàn_ông chơi guitar,0
một người phụ nữ đang thái cà chua,một người đàn ông đang cắt hành tây,một người phụ_nữ đang thái cà_chua,một người đàn_ông đang cắt hành_tây,0
một người đàn ông bơi dưới nước,một người phụ nữ đang bơi dưới nước,một người đàn_ông bơi dưới nước,một người phụ_nữ đang bơi dưới nước,1
một người đàn ông và một người phụ nữ đang nói chuyện,một người đàn ông và một người phụ nữ đang ăn,một người đàn_ông và một người phụ_nữ đang nói_chuyện,một người đàn_ông và một người phụ_nữ đang ăn,1
một nhỏ đang đuổi theo một quả bóng yoga,một đang đuổi theo một quả bóng,một nhỏ đang đuổi theo một quả bóng yoga,một đang đuổi theo một quả bóng,1
những người đàn ông đang chơi cricket,những người đàn ông đang chơi bóng rổ,những người đàn_ông đang chơi cricket,những người đàn_ông đang chơi bóng_rổ,1
một người đàn ông đi xe máy,một người đàn ông đi xe máy,một người đàn_ông đi xe_máy,một người đàn_ông đi xe_máy,1
một người đàn ông đang chơi guitar,một người đàn ông đang hát và chơi guitar,một người đàn_ông đang chơi guitar,một người đàn_ông đang hát và chơi guitar,1
người đàn ông nói chuyện điện thoại,người đàn ông đang nói chuyện điện thoại,người đàn_ông nói_chuyện điện_thoại,người đàn_ông đang nói_chuyện điện_thoại,1
một người đàn ông đang câu cá,một người đàn ông đang tập thể dục,một người đàn_ông đang câu cá,một người đàn_ông đang tập_thể_dục,1
một người đàn ông đang bay lên,một người đàn ông đang nói,một người đàn_ông đang bay lên,một người đàn_ông đang nói,1
hai cậu bé đang lái xe,hai vịnh đang nhảy múa,hai cậu bé đang lái_xe,hai vịnh đang nhảy_múa,0
một người đàn ông đang cưỡi trên một con ngựa,một cô gái đang cưỡi ngựa,một người đàn_ông đang cưỡi trên một con ngựa,một cô gái đang cưỡi ngựa,0
một người đàn ông đang đi xe đạp,một con khỉ đang đi xe đạp,một người đàn_ông đang đi xe_đạp,một con khỉ đang đi xe_đạp,1
một người đàn ông đang cắt khoai tây,một người phụ nữ đang gọt vỏ khoai tây,một người đàn_ông đang cắt khoai_tây,một người phụ_nữ đang gọt vỏ khoai_tây,0
một người phụ nữ đang gọt vỏ khoai tây,một người đàn ông đang cắt khoai tây,một người phụ_nữ đang gọt vỏ khoai_tây,một người đàn_ông đang cắt khoai_tây,0
một người đàn ông đang chơi guitar,someoen đang chơi guitar,một người đàn_ông đang chơi guitar,someoen đang chơi guitar,0
một người phụ nữ đang cắt tỏi tây,một người phụ nữ đang cắt gừng,một người phụ_nữ đang cắt tỏi_tây,một người phụ_nữ đang cắt gừng,1
người đàn ông cắt một tấm giấy,một người đàn ông đang cắt một tấm giấy,người đàn_ông cắt một tấm giấy,một người đàn_ông đang cắt một tấm giấy,1
người đàn ông đang chơi guitar,một người đàn ông đang thổi sáo,người đàn_ông đang chơi guitar,một người đàn_ông đang thổi sáo,1
một người đàn ông đang chơi piano,người đàn ông đang chơi violin,một người đàn_ông đang chơi piano,người đàn_ông đang chơi violin,1
một người phụ nữ đang cắt một ít thịt,một người phụ nữ đang làm bánh mì một ít thịt,một người phụ_nữ đang cắt một_ít thịt,một người phụ_nữ đang làm bánh_mì một_ít thịt,1
một người đàn ông đang chơi trên bàn phím của mình,một người đàn ông đang chơi đàn piano keyboard,một người đàn_ông đang chơi trên bàn_phím của mình,một người đàn_ông đang chơi đàn piano keyboard,1
người phụ nữ băm nhỏ hành lá,người phụ nữ cắt một củ hành lá,người phụ_nữ băm nhỏ hành lá,người phụ_nữ cắt một củ_hành lá,1
ai đó đang ngồi mì trong nước,một người phụ nữ đang luộc mì trong nước,ai đó đang ngồi mì trong nước,một người phụ_nữ đang luộc mì trong nước,0
lionel richie đang nhảy múa trên trần nhà,lionel ritchie nhảy múa khi đứng trên trần nhà,lionel richie đang nhảy_múa trên trần nhà,lionel ritchie nhảy_múa khi đứng trên trần nhà,1
một người đàn ông đang chơi piano,một người đang chơi piano,một người đàn_ông đang chơi piano,một người đang chơi piano,1
một người phụ nữ đang thổi sáo,một người phụ nữ thổi sáo,một người phụ_nữ đang thổi sáo,một người phụ_nữ thổi sáo,1
một cậu bé đang kiểm tra lịch,một cậu bé đang nhìn vào một cuốn lịch,một cậu bé đang kiểm_tra lịch,một cậu bé đang nhìn vào một cuốn lịch,1
một người phụ nữ đang cắt một củ hành tây,một người phụ nữ đang cắt hành tây,một người phụ_nữ đang cắt một củ hành_tây,một người phụ_nữ đang cắt hành_tây,1
một người đàn ông đang chơi guitar,một người đàn ông chơi guitar,một người đàn_ông đang chơi guitar,một người đàn_ông chơi guitar,1
một người phụ nữ đang sử dụng máy may,một người phụ nữ đang may trên máy,một người phụ_nữ đang sử_dụng máy_may,một người phụ_nữ đang may trên máy,1
một người phụ nữ đang lật bánh kếp,một đầu bếp hoạt hình đang lật bánh kếp,một người phụ_nữ đang lật bánh kếp,một đầu_bếp hoạt_hình đang lật bánh kếp,0
một người đàn ông đang chạy trên đường,một chiếc ô tô đang lái trên đường,một người đàn_ông đang chạy trên đường,một chiếc ô_tô đang lái trên đường,0
